pipeline,OOF_AUC,OOF_AP,test_AUC,test_AP,test_BA,test_precision,test_recall,test_F1
02e (AUC-first + BA threshold),0.6933345131729965,,0.7017066719896201,,0.6823943310544438,,,
02e + 02f (top-5 + A+M + F1),0.6933345131729965,,0.7017066719896201,,0.7113378911123309,0.13076923076923078,0.5862068965517241,0.2138364779874214
"02g (AP-first, per-pos F1 threshold)",0.6331002282469231,0.15681700392375664,0.7463196766305704,0.08215499540659185,0.5649483507161036,0.055793991416309016,0.4482758620689655,0.09923664122137404
02g + top-5 + A+M + F1,0.6331002282469231,0.15681700392375664,0.7463196766305704,0.08215499540659185,0.6446678975996806,0.12244897959183673,0.41379310344827586,0.1889763779527559
