pos_A,ratio_peak_speed,pos_D,formation_offensiveness,is_home_int,subbed_int,ratio_shots_top_third,jersey_number,minute_in,ratio_distance,cumul_mean_max_speed
1,3.647193585337915,0,17,0,1,0.0,9,1,0.9441840295702812,6.916
0,3.3173076923076925,0,17,0,1,0.0,16,1,1.1542756649813146,6.826
0,0.1333333333333333,0,17,0,0,0.0,20,59,0.1333333333333333,6.345
0,1.0,1,17,0,0,0.0,22,46,1.0,7.222
0,4.479843953185956,1,17,1,0,0.0,2,1,0.5360729429017758,6.482
0,3.944900351699883,1,17,1,0,0.0,4,1,0.3086291964254908,6.868
0,4.053030303030303,1,17,1,0,0.0,5,1,0.6166034669555797,6.759
1,4.963636363636364,0,17,1,1,0.0,6,1,1.063575997933476,6.627
0,4.137542277339347,0,17,1,1,0.0,7,1,0.6674945435387973,6.798
0,3.811881188118812,0,17,1,0,0.0,10,1,0.6222337450693531,6.502
0,4.124493927125505,0,17,1,1,0.0,15,1,0.6990919195024475,6.916
0,4.584257206208426,0,17,1,1,1.6666666666666667,18,1,0.8574696901312001,6.531
0,3.583617747440273,1,17,1,0,0.0,21,1,0.8696312900100679,6.597
0,4.186851211072664,0,17,1,1,0.0,22,1,0.7579217198371497,6.637
0,4.066455696202532,1,17,0,0,0.0,2,1,1.0076841222092618,6.987
0,3.799303944315546,1,17,0,0,0.0,3,1,0.9676705661107884,6.583
0,4.414694894146949,1,17,0,0,0.0,5,1,0.5698198821348531,6.497
0,4.382785956964892,0,17,0,0,5.0,6,1,0.7477049325501078,6.565
0,3.584499461786868,0,17,0,0,0.0,7,1,0.6662227230816515,7.038
0,3.957883369330454,0,17,0,1,0.0,8,1,0.7257600334885668,6.94
0,0.6666666666666666,0,17,0,0,0.0,11,66,0.6666666666666666,6.691
1,0.6666666666666666,0,17,0,0,0.6666666666666666,19,66,0.6666666666666666,6.54
0,1.1333333333333333,0,17,0,0,1.1333333333333333,20,59,0.8309015256588071,6.365
0,1.8815165876777251,1,17,0,0,0.0,22,46,1.0225281602002505,6.976
0,1.0,1,18,1,1,0.0,2,1,1.0,6.738
0,1.0,1,18,1,0,0.0,3,1,1.0,6.57
0,1.0,0,18,1,0,0.0,4,1,1.0,6.452
0,1.0,1,18,1,0,0.0,5,1,1.0,6.14
0,1.0,1,18,1,0,0.0,6,1,1.0,6.408
0,1.0,0,18,1,0,0.0,7,1,1.0,6.509
1,1.0,0,18,1,1,0.0,10,1,1.0,6.154
0,1.0,0,18,1,1,1.0,11,1,1.0,6.023
0,1.0,0,18,1,0,0.0,14,1,1.0,6.748
1,1.0,0,18,1,1,1.0,17,1,1.0,6.773
0,1.0,1,19,0,1,1.0,3,1,1.0,5.805
0,1.0,0,19,0,0,0.0,5,1,1.0,6.211
0,1.0,1,19,0,0,0.0,6,1,1.0,6.12
1,1.0,0,19,0,1,1.0,7,1,1.0,6.509
0,1.0,0,19,0,1,1.0,8,1,1.0,6.332
1,1.0,0,19,0,0,0.0,9,1,1.0,6.934
0,1.0,1,19,0,0,0.0,11,1,1.0,6.552
0,1.0,1,19,0,1,0.0,16,1,1.0,6.64
0,1.0,0,19,0,1,0.0,17,1,1.0,6.801
1,1.0,0,19,0,0,0.0,19,1,1.0,6.689
0,2.0,1,18,1,1,0.0,2,1,0.8601674830146943,6.572
0,1.8519417475728157,1,18,1,0,0.0,3,1,1.129084641463206,6.607
0,1.8565629228687417,0,18,1,0,0.0,4,1,1.1982643991881867,6.443
0,2.0,1,18,1,0,0.0,5,1,1.1884388273075728,6.482
0,1.9973474801061009,1,18,1,0,0.0,6,1,0.8452468680913781,6.566
0,2.0,0,18,1,0,2.0,7,1,0.93779420592045,6.519
1,2.0,0,18,1,1,0.0,10,1,0.9899183469421764,6.417
0,2.0,0,18,1,1,1.0,11,1,1.4529506809263677,6.104
0,1.9139240506329112,0,18,1,0,0.0,14,1,0.9711403754553096,6.72
1,1.9156118143459917,0,18,1,1,0.0,17,1,0.6874934988384591,6.887
0,2.0,1,19,0,1,0.0,3,1,0.9311229524373396,6.596
0,1.943012211668928,0,19,0,0,0.0,5,1,0.8312917348427895,6.233
0,2.0,1,19,0,0,0.0,6,1,1.4001287277408283,6.232
1,1.7088122605363985,0,19,0,1,0.0,7,1,0.9620558493366732,6.386
0,1.8176795580110496,0,19,0,1,0.0,8,1,0.8564521587777401,6.264
1,1.908745247148289,0,19,0,0,0.0,9,1,0.683138746,6.906
0,2.0,1,19,0,0,0.0,11,1,1.0633626779697858,6.733
0,1.890560875512996,1,19,0,1,0.0,16,1,0.8042084023924478,6.431
0,1.8978829389788296,0,19,0,1,0.0,17,1,0.9294368888389344,6.687
1,2.0,0,19,0,0,0.0,19,1,1.0517247781367198,6.785
0,2.608856088560885,1,18,1,1,0.0,2,1,1.1447136994332618,6.451
0,2.858009708737864,1,18,1,0,0.0,3,1,0.8260977271319749,6.644
0,2.8741542625169147,0,18,1,0,0.0,4,1,0.8855648999926011,6.383
0,3.0,1,18,1,0,0.0,5,1,1.472787680624407,6.461
0,3.0,1,18,1,0,0.0,6,1,1.509200769,6.665
0,2.967625899280576,0,18,1,0,0.0,7,1,0.8069008522136769,6.466
1,3.0,0,18,1,1,0.0,10,1,1.0230061770761838,6.39
0,3.0,0,18,1,1,0.0,11,1,1.7331687028853655,6.597
0,3.0,0,18,1,0,0.0,14,1,1.1202746459641868,6.73
1,3.0,0,18,1,1,1.5,17,1,1.0971828198192255,7.123
0,3.0,1,19,0,1,0.0,3,1,1.9187882235812828,6.73
0,2.9226594301221165,0,19,0,0,3.0,5,1,0.7820969693006833,6.316
0,3.0,1,19,0,0,0.0,6,1,1.842122692275851,6.237
