config,precision,recall,f1,balanced_accuracy,n_pred_pos
BA threshold (unfiltered),0.09941520467836257,0.5862068965517241,0.17,0.6816707420529966,171
BA threshold (A+M only),0.12318840579710146,0.5862068965517241,0.20359281437125748,0.7055491791007535,138
F1 threshold (unfiltered),0.10240963855421686,0.5862068965517241,0.17435897435897435,0.6852886870602326,166
F1 threshold (A+M only),0.12686567164179105,0.5862068965517241,0.2085889570552147,0.7084435351065422,134
F0.5 threshold (unfiltered),0.07377049180327869,0.3103448275862069,0.11920529801324503,0.5734068566295724,122
F0.5 threshold (A+M only),0.08737864077669903,0.3103448275862069,0.13636363636363635,0.5871550476570687,103
