approach,precision,recall,f1,BA,n_predictions,BA
02e baseline (per-position BA threshold),0.1,0.5862068965517241,0.1708542713567839,0.6823943310544438,170,
F1-optimal threshold,0.10240963855421686,0.5862068965517241,0.17435897435897435,0.6852886870602326,166,
Precision @ recall>=0.30,0.10240963855421686,0.5862068965517241,0.17435897435897435,0.6852886870602326,166,
Top-3 per match,0.05555555555555555,0.20689655172413793,0.08759124087591241,0.5296421977144569,108,
Top-3 + A+M + F1 threshold,0.13076923076923078,0.5862068965517241,0.2138364779874214,,130,0.7113378911123309
