config,k,thr_kind,precision,recall,f1,balanced_accuracy,n_pred_pos
Top-5 + A+M + thr=F1,5,F1,0.13076923076923078,0.5862068965517241,0.2138364779874214,0.7113378911123309,130
Top-5 + A+M + thr=BA,5,BA,0.12781954887218044,0.5862068965517241,0.20987654320987653,0.7091671241079893,133
Top-3 + A+M + thr=F1,3,F1,0.10309278350515463,0.3448275862068966,0.15873015873015872,0.6094615499775438,97
Top-3 + A+M + thr=BA,3,BA,0.10101010101010101,0.3448275862068966,0.15625,0.6080143719746495,99
Top-2 + A+M + thr=F1,2,F1,0.07246376811594203,0.1724137931034483,0.10204081632653061,0.5398972004591047,69
Top-2 + A+M + thr=BA,2,BA,0.07246376811594203,0.1724137931034483,0.10204081632653061,0.5398972004591047,69
Top-1 + A+M + thr=F1,1,F1,0.08333333333333333,0.10344827586206896,0.09230769230769231,0.5278457008832776,36
Top-1 + A+M + thr=BA,1,BA,0.08333333333333333,0.10344827586206896,0.09230769230769231,0.5278457008832776,36
