config,threshold,precision,recall,f1,balanced_accuracy,auc,brier,n_pred_pos,n_actual_pos
02e BA threshold (global),0.07148241206030151,0.09941520467836257,0.5862068965517241,0.17,0.6816707420529966,0.7017066719896201,0.03937268423313573,171,29
F1-optimal threshold,0.10947236180904522,0.10240963855421686,0.5862068965517241,0.17435897435897435,0.6852886870602326,0.7017066719896201,0.03937268423313573,166,29
F0.5-optimal threshold,0.12371859296482411,0.07377049180327869,0.3103448275862069,0.11920529801324503,0.5734068566295724,0.7017066719896201,0.03937268423313573,122,29
Precision @ recall>=0.30,0.10947236180904522,0.10240963855421686,0.5862068965517241,0.17435897435897435,0.6852886870602326,0.7017066719896201,0.03937268423313573,166,29
