strategy,Precision,Recall,F1,BA,n_pred_pos,AUC,AP,Brier
global cal + global F1 thr,0.125,0.5172413793103449,0.20134228187919462,0.6826438445032188,120,0.8112430760017965,0.1271414102475785,0.04182239229084609
global cal + global BA thr,0.10952380952380952,0.7931034482758621,0.19246861924686193,0.7612405808673088,210,0.8112430760017965,0.1271414102475785,0.04182239229084609
global cal + per-cp F1 thr,0.09045226130653267,0.6206896551724138,0.15789473684210525,0.6793752183242676,199,0.8112430760017965,0.1271414102475785,0.04182239229084609
global cal + per-cp BA thr,0.06291390728476821,0.6551724137931034,0.1148036253776435,0.6228105194870004,302,0.8112430760017965,0.1271414102475785,0.04182239229084609
per-cp cal + per-cp F1 thr,0.1276595744680851,0.41379310344827586,0.1951219512195122,0.6475622536054694,94,0.7875143470233046,0.12363885776859262,0.04509742558002472
per-cp cal + per-cp BA thr,0.11347517730496454,0.5517241379310345,0.18823529411764706,0.68541344378462,141,0.7875143470233046,0.12363885776859262,0.04509742558002472
